Date,Close
11/19/2015 16:00:00,13.07
11/20/2015 16:00:00,12.85
11/23/2015 16:00:00,12.12
11/24/2015 16:00:00,12.02
11/25/2015 16:00:00,11.9
11/27/2015 16:00:00,12.05
11/30/2015 16:00:00,12.04
12/1/2015 16:00:00,11.91
12/2/2015 16:00:00,11.93
12/3/2015 16:00:00,11.92
12/4/2015 16:00:00,12.04
12/7/2015 16:00:00,12.36
12/8/2015 16:00:00,12.12
12/9/2015 16:00:00,11.99
12/10/2015 16:00:00,12.05
12/11/2015 16:00:00,11.95
12/14/2015 16:00:00,12.33
12/15/2015 16:00:00,12.47
12/16/2015 16:00:00,12.27
12/17/2015 16:00:00,12.32
12/18/2015 16:00:00,12.34
12/21/2015 16:00:00,12.24
12/22/2015 16:00:00,12.46
12/23/2015 16:00:00,12.5
12/24/2015 16:00:00,12.6
12/28/2015 16:00:00,12.83
12/29/2015 16:00:00,12.74
12/30/2015 16:00:00,12.78
12/31/2015 16:00:00,13.09
1/4/2016 16:00:00,12.16
1/5/2016 16:00:00,11.51
1/6/2016 16:00:00,11.52
1/7/2016 16:00:00,11.16
1/8/2016 16:00:00,11.31
1/11/2016 16:00:00,11.84
1/12/2016 16:00:00,12.09
1/13/2016 16:00:00,11.61
1/14/2016 16:00:00,10.82
1/15/2016 16:00:00,10.27
1/19/2016 16:00:00,9.47
1/20/2016 16:00:00,9.49
1/21/2016 16:00:00,10.02
1/22/2016 16:00:00,9.85
1/25/2016 16:00:00,9.81
1/26/2016 16:00:00,9.54
1/27/2016 16:00:00,9.05
1/28/2016 16:00:00,8.74
1/29/2016 16:00:00,8.77
2/1/2016 16:00:00,8.76
2/2/2016 16:00:00,8.47
2/3/2016 16:00:00,8.43
2/4/2016 16:00:00,8.9
2/5/2016 16:00:00,8.63
2/8/2016 16:00:00,8.37
2/9/2016 16:00:00,8.62
2/10/2016 16:00:00,8.88
2/11/2016 16:00:00,8.62
2/12/2016 16:00:00,9.3
2/16/2016 16:00:00,9.93
2/17/2016 16:00:00,9.84
2/18/2016 16:00:00,9.98
2/19/2016 16:00:00,9.97
2/22/2016 16:00:00,10.38
2/23/2016 16:00:00,9.71
2/24/2016 16:00:00,9.89
2/25/2016 16:00:00,10.26
2/26/2016 16:00:00,10.32
2/29/2016 16:00:00,10.44
3/1/2016 16:00:00,10.72
3/2/2016 16:00:00,11.97
3/3/2016 16:00:00,12.25
3/4/2016 16:00:00,12.01
3/7/2016 16:00:00,12.26
3/8/2016 16:00:00,11.48
3/9/2016 16:00:00,12.03
3/10/2016 16:00:00,11.3
3/11/2016 16:00:00,11.1
3/14/2016 16:00:00,11.61
3/15/2016 16:00:00,11.95
3/16/2016 16:00:00,11.87
3/17/2016 16:00:00,11.95
3/18/2016 16:00:00,12.04
3/21/2016 16:00:00,13.4
3/22/2016 16:00:00,13.06
3/23/2016 16:00:00,12.59
3/24/2016 16:00:00,12.88
3/28/2016 16:00:00,13.4
3/29/2016 16:00:00,13.74
3/30/2016 16:00:00,15.02
3/31/2016 16:00:00,15.28
4/1/2016 16:00:00,14.22
4/4/2016 16:00:00,14.28
4/5/2016 16:00:00,14.26
4/6/2016 16:00:00,14.97
4/7/2016 16:00:00,14.81
4/8/2016 16:00:00,15.13
4/11/2016 16:00:00,15.36
4/12/2016 16:00:00,15.48
4/13/2016 16:00:00,15.01
4/14/2016 16:00:00,14.82
4/15/2016 16:00:00,14.33
4/18/2016 16:00:00,14.51
4/19/2016 16:00:00,14.09
4/20/2016 16:00:00,13.63
4/21/2016 16:00:00,13.24
4/22/2016 16:00:00,13.34
4/25/2016 16:00:00,13.59
4/26/2016 16:00:00,14.18
4/27/2016 16:00:00,14.69
4/28/2016 16:00:00,15.35
4/29/2016 16:00:00,14.89
5/2/2016 16:00:00,14
5/3/2016 16:00:00,13.45
5/4/2016 16:00:00,13.39
5/5/2016 16:00:00,13.05
5/6/2016 16:00:00,10.22
5/9/2016 16:00:00,9.85
5/10/2016 16:00:00,10
5/11/2016 16:00:00,9.68
5/12/2016 16:00:00,9.28
5/13/2016 16:00:00,9.36
5/16/2016 16:00:00,9.16
5/17/2016 16:00:00,9.18
5/18/2016 16:00:00,9.4
5/19/2016 16:00:00,9.6
5/20/2016 16:00:00,9.39
5/23/2016 16:00:00,9.46
